Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,num_academia,num_company
45,Semi-supervised User Profiling with Heterogeneous Graph Attention Networks,University of Science and Technology of China,Jingdong (China),Shandong University,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,Jingdong (China),University of Science and Technology of China,,,,,,,,,,,,,,,,,6.0,2.0
46,Tree Sampling Divergence: An Information-Theoretic Metric for Hierarchical Graph Clustering,Technical University of Munich,Télécom Paris,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
47,Coreference Aware Representation Learning for Neural Named Entity Recognition,"Cognitive Computing Lab, Baidu Research US","Cognitive Computing Lab, Baidu Research US","Cognitive Computing Lab, Baidu Research US",,,,,,,,,,,,,,,,,,,,,,0.0,3.0
48,CNN-Based Chinese NER with Lexicon Rethinking,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University,Jilian Technology Group (China),Fudan University,,,,,,,,,,,,,,,,,,6.0,1.0
49,Multigoal Committee Selection,AGH University of Science and Technology,AGH University of Science and Technology,University of Oxford,AGH University of Science and Technology,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,,5.0,0.0
50,Equitable Allocations of Indivisible Goods,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,,,,,6.0,0.0
51,Compilation of Logical Arguments,French National Centre for Scientific Research,Université Toulouse III - Paul Sabatier,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
52,DyAt Nets: Dynamic Attention Networks for State Forecasting in Cyber-Physical Systems,Virginia Tech,Virginia Tech,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
53,Scalable Bayesian Non-linear Matrix Completion,University of Helsinki,Helsinki Institute for Information Technology,Aalto University,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
54,Open-Ended Long-Form Video Question Answering via Hierarchical Convolutional Self-Attention Networks,Zhejiang University,Zhejiang University,Zhejiang University,University of Electronic Science and Technology of China,Zhejiang University,,,,,,,,,,,,,,,,,,,,5.0,0.0
55,Harnessing the Vulnerability of Latent Layers in Adversarially Trained Models," Adobe Inc,Noid"," Adobe Inc,Noid"," Adobe Inc,Noid","International Institute of Information Technology, Hyderabad"," Adobe Inc,Noid","International Institute of Information Technology, Hyderabad",,,,,,,,,,,,,,,,,,,2.0,0.0
56,Learning Multiple Maps from Conditional Ordinal Triplets,Singapore Management University,Singapore Management University,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
57,Trust Dynamics and Transfer across Human-Robot Interaction Tasks: Bayesian and Neural Computational Models,National University of Singapore,National University of Singapore,National University of Singapore,National University of Singapore,,,,,,,,,,,,,,,,,,,,,4.0,0.0
58,Bayesian Parameter Estimation for Nonlinear Dynamics Using Sensitivity Analysis,University of Colorado Boulder,University of Colorado Boulder,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
59,Steady-State Policy Synthesis for Verifiable Control,United States Air Force Research Laboratory,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
60,Recommending Links to Maximize the Influence in Social Networks,Gran Sasso Science Institute,Gran Sasso Science Institute,Centrum Wiskunde & Informatica,Institute for Scientific Interchange,,,,,,,,,,,,,,,,,,,,,4.0,0.0
61,Crafting Efficient Neural Graph of Large Entropy,University of Sydney,Peking University, Huawei Noah's Ark La, Huawei Noah's Ark La,University of Sydney,,,,,,,,,,,,,,,,,,,,3.0,0.0
62,Stochastic Constraint Propagation for Mining Probabilistic Networks,Leiden University,Polytechnique Montréal,Université Catholique de Louvain,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
63,Building Personalized Simulator for Interactive Search,Fudan University,Alibaba Group (China),Fudan University,University of Hong Kong,Alibaba Group (China),Alibaba Group (China),Tianjin University,Fudan University,University of Hong Kong,,,,,,,,,,,,,,,,6.0,3.0
64,Reading Selectively via Binary Input Gated Recurrent Unit,Institute of Automation,Institute of Automation,Center for Excellence in Brain Science and Intelligence Technology,Institute of Automation,Institute of Automation,Center for Excellence in Brain Science and Intelligence Technology,,,,,,,,,,,,,,,,,,,6.0,0.0
65,Deep Spectral Kernel Learning,Southeast University,Southeast University,Southeast University,Southeast University,Southeast University,Southeast University,,,,,,,,,,,,,,,,,,,6.0,0.0
66,ATTENet: Detecting and Explaining Suspicious Tax Evasion Groups, Shaanxi Province Key Laboratory of Satellite and Terrestrial Network Tec,Xi'an Jiaotong University, Shaanxi Province Key Laboratory of Satellite and Terrestrial Network Tec,Xi'an Jiaotong University, Shaanxi Province Key Laboratory of Satellite and Terrestrial Network Tec,Xi'an Jiaotong University, Shaanxi Province Key Laboratory of Satellite and Terrestrial Network Tec,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,,,,,,,,,,,,,,,6.0,0.0
67,Learning Semantic Annotations for Tabular Data,University of Oxford,The Alan Turing Institute,University of Oslo,University of Oxford,The Alan Turing Institute,The Alan Turing Institute,University of Edinburgh,,,,,,,,,,,,,,,,,,7.0,0.0
68,Learning Assistance from an Adversarial Critic for Multi-Outputs Prediction,Ames Research Center,Ames Research Center,Ames Research Center,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
69,Worst-Case Optimal Querying of Very Expressive Description Logics with Path Expressions and Succinct Counting *,Institute of Computer Science,TU Dresden,TU Dresden,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
70,On the Integration of CP-nets in ASPRIN,University of Calabria,University of Potsdam,University of Potsdam,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
71,DANE: Domain Adaptive Network Embedding,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,,7.0,0.0
72,Large Scale Evolving Graphs with Burst Detection,Tsinghua University," DAMO Academy, Alibaba Grou"," DAMO Academy, Alibaba Grou",Tsinghua University,,,,,,,,,,,,,,,,,,,,,2.0,3.0
73,Optimally Efficient Bidirectional Search,Hebrew University of Jerusalem,Ben-Gurion University of the Negev,University of Alberta,Hebrew University of Jerusalem,,,,,,,,,,,,,,,,,,,,,4.0,0.0
74,Adversarial Attacks on Neural Networks for Graph Data *,Technical University of Munich,Technical University of Munich,Technical University of Munich,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
75,Deep Recurrent Quantization for Generating Sequential Binary Codes,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,Shandong University, JD AI Researc,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,5.0,0.0
76,Domain-Dependent and Domain-Independent Problem Solving Techniques,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
77,SLATEQ: A Tractable Decomposition for Reinforcement Learning with Recommendation Sets,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,10.0,0.0
78,Multiple Partitions Aligned Clustering,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,7.0,0.0
79,Unified Embedding Model over Heterogeneous Information Network for Personalized Recommendation,Peking University,Peking University,Peking University,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,,,6.0,0.0
80,Dynamic Logic of Parallel Propositional Assignments and its Applications to Planning,Toulouse Institute of Computer Science Research,Toulouse Institute of Computer Science Research,Toulouse Institute of Computer Science Research,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
81,Getting in Shape: Word Embedding SubSpaces," Department of Statistics, University of Virgini"," Department of Computer and Information Science, University of Pennsylvani"," Department of Statistics, University of Virgini",,,,,,,,,,,,,,,,,,,,,,3.0,0.0
82,Towards Architecture-Agnostic Neural Transfer: a Knowledge-Enhanced Approach,Dublin City University,Dublin City University,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
83,Conditional Preference Network with Constraints and Uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
84,Conditional GAN with Discriminative Filter Generation for Text-to-Video Synthesis,"University of Maryland, College Park", NEC Labs America -Princeto, NEC Labs America -Princeto,"University of Maryland, College Park", NEC Labs America -Princeto,,,,,,,,,,,,,,,,,,,,2.0,0.0
85,A Modal Characterization Theorem for a Probabilistic Fuzzy Description Logic,University of Erlangen-Nuremberg,University of Erlangen-Nuremberg,Australian National University,University of Duisburg-Essen,,,,,,,,,,,,,,,,,,,,,4.0,0.0
86,Equally-Guided Discriminative Hashing for Cross-modal Retrieval,Huazhong University of Science and Technology,Huazhong University of Science and Technology,Southern University of Science and Technology,Huazhong University of Science and Technology,Huazhong University of Science and Technology,,,,,,,,,,,,,,,,,,,,5.0,0.0
87,Pivotal Relationship Identification: The K-Truss Minimization Problem,East China Normal University,Zhejiang Lab,Zhejiang Gongshang University,East China Normal University,Zhejiang Gongshang University,UNSW Sydney,East China Normal University,Zhejiang Lab,UNSW Sydney,,,,,,,,,,,,,,,,9.0,0.0
88,Decision Making for Improving Maritime Traffic Safety Using Constraint Programming,Singapore Management University,Singapore Management University,Singapore Management University,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
89,MINA: Multilevel Knowledge-Guided Attention for Modeling Electrocardiography Signals,Peking University,Peking University,Georgia Institute of Technology,IQVIA (United States),IBM Research - Austin,Peking University,Peking University,Georgia Institute of Technology,,,,,,,,,,,,,,,,,7.0,1.0
90,Meta-Learning for Low-resource Natural Language Generation in Task-oriented Dialogue Systems,École Polytechnique Fédérale de Lausanne,Tsinghua University,Hangzhou Dianzi University,École Polytechnique Fédérale de Lausanne,Tsinghua University,,,,,,,,,,,,,,,,,,,,5.0,0.0
91,Accelerated Incremental Gradient Descent using Momentum Acceleration with Scaling Factor, Key Laboratory of Intelligent Perception and Image Understanding of Ministry of Educatio,Xidian University, Key Laboratory of Intelligent Perception and Image Understanding of Ministry of Educatio,Xidian University, Key Laboratory of Intelligent Perception and Image Understanding of Ministry of Educatio,Xidian University,,,,,,,,,,,,,,,,,,,3.0,0.0
92,Election with Bribe-Effect Uncertainty: A Dichotomy Result,Texas Tech University,The University of Texas Rio Grande Valley,The University of Texas Health Science Center at San Antonio,Auburn University at Montgomery,University of Houston,,,,,,,,,,,,,,,,,,,,5.0,0.0
93,Equilibrium Characterization for Data Acquisition Games *,University of Pennsylvania,University of Pennsylvania,University of Pennsylvania,University of Pennsylvania,University of Pennsylvania,,,,,,,,,,,,,,,,,,,,5.0,0.0
94,"A Unified Mathematical Approach for Foraging and Construction Systems in a 1,000,000 Robot Swarm","Department of Computer Science, University of Minnesot",,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
95,Partial Label Learning with Unlabeled Data,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
96,Bayesian Uncertainty Matching for Unsupervised Domain Adaptation,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,"University at Buffalo, State University of New York",Zhejiang University,"University at Buffalo, State University of New York",,,,,,,,,,,,,,,,,,7.0,0.0
97,Influence of State-Variable Constraints on Partially Observable Monte Carlo Planning,University of Verona,Technical University of Crete,University of Verona,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
98,Video Interactive Captioning with Human Prompts,Tianjin University,Tianjin University,University of Technology Sydney, Baidu Researc,,,,,,,,,,,,,,,,,,,,,3.0,0.0
99,RBCN: Rectified Binary Convolutional Networks for Enhancing the Performance of 1-bit DCNNs,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University, Huawei Noah's Ark La,University of Adelaide," Institute of Deep Learning, Baidu Researc",National Engineering Laboratory of Deep Learning Technology and Application,,,,,,,,,,,,,,,,6.0,2.0
100,Implicitly Coordinated Multi-Agent Path Finding under Destination Uncertainty: Success Guarantees and Computational Complexity (Extended Abstract) *,University of Freiburg,Technical University of Denmark,University of Freiburg,University of Freiburg,,,,,,,,,,,,,,,,,,,,,4.0,0.0
101,Learning in the Machine: Random Backpropagation and the Deep Learning Channel,"University of California, Irvine","University of California, Irvine","University of California, Irvine",,,,,,,,,,,,,,,,,,,,,,3.0,0.0
102,Robust Low-Tubal-Rank Tensor Completion via Convex Optimization *,University of Hong Kong,Hong Kong Baptist University,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
103,Merge-and-Shrink Task Reformulation for Classical Planning,Saarland University,University of Basel,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
104,Hyper-parameter Tuning under a Budget Constraint,University of Southern California,University of Southern California, Appier Inc,Google (United States),,,,,,,,,,,,,,,,,,,,,2.0,1.0
105,A Review-Driven Neural Model for Sequential Recommendation,Wuhan University,Wuhan University," State Key Lab of Mathematical Engineering and Advanced Computing, Zhengzhou, Chin",Wuhan University,Wuhan University,,,,,,,,,,,,,,,,,,,,5.0,0.0
106,Autoregressive Policies for Continuous Control Deep Reinforcement Learning,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
107,Improving Representation Learning in Autoencoders via Multidimensional Interpolation and Dual Regularizations,South China University of Technology,City University of Hong Kong,Shantou University,South China University of Technology,City University of Hong Kong,,,,,,,,,,,,,,,,,,,,5.0,0.0
108,Indirect Trust is Simple to Establish,University of Regina,University of Regina,University of Regina,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
109,On Computational Tractability for Rational Verification,University of Oxford,University of Oxford,University of Leicester,University of Oxford,,,,,,,,,,,,,,,,,,,,,4.0,0.0
110,Robustness against Agent Failure in Hedonic Games,The University of Tokyo," Kyusu University, Fukuoka, Japan",National Institute of Advanced Industrial Science and Technology," Kyusu University, Fukuoka, Japan",,,,,,,,,,,,,,,,,,,,,2.0,0.0
111,Answering Binary Causal Questions Through Large-Scale Text Mining: An Evaluation Using Cause-Effect Pairs from Human Experts,IBM Research - China,IBM Research - China,IBM Research - China,IBM Research - China,IBM Research - China,IBM Research - China,IBM Research - China,,,,,,,,,,,,,,,,,,7.0,0.0
112,Medical Concept Representation Learning from Multi-source Data,Temple University,Fox Chase Cancer Center,Fox Chase Cancer Center,Temple University,,,,,,,,,,,,,,,,,,,,,4.0,0.0
113,A Gradient-Based Split Criterion for Highly Accurate and Transparent Model Trees,"SCHUFA Holding AG, Wiesbaden, German","SCHUFA Holding AG, Wiesbaden, German",,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
114,ActiveHNE: Active Heterogeneous Network Embedding,Southwest University,Southwest University,King Abdullah University of Science and Technology,Southwest University,George Mason University,Alibaba Group (China),King Abdullah University of Science and Technology,,,,,,,,,,,,,,,,,,6.0,1.0
115,Aligning Learning Outcomes to Learning Resources: A Lexico-Semantic Spatial Approach,IBM Research - India,IBM Research - India,IBM Research - India,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,Nanyang Technological University,IBM Research - India,,,,,,,,,,,,,,,,,8.0,0.0
116,CFM: Convolutional Factorization Machines for Context-Aware Recommendation,University of Glasgow,Shanghai Jiao Tong University,Shanghai Jiao Tong University,University of Science and Technology of China,Shanghai Jiao Tong University,University of Glasgow,,,,,,,,,,,,,,,,,,,6.0,0.0
117,Topology Attack and Defense for Graph Neural Networks: An Optimization Perspective,Northeastern University,Massachusetts Institute of Technology,IBM Research - Haifa,IBM Research - Haifa,Massachusetts Institute of Technology,University of Minnesota,Northeastern University,,,,,,,,,,,,,,,,,,7.0,0.0
118,Deep Session Interest Network for Click-Through Rate Prediction,Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),Zhejiang University,Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),,,,,,,,,,,,,,,,,1.0,7.0
119,Predict+Optimise with Ranking Objectives: Exhaustively Learning Linear Functions,University of Melbourne,Monash University,Data61,University of Melbourne,RMIT University,University of Melbourne,University of Melbourne,Vrije Universiteit Brussel,,,,,,,,,,,,,,,,,8.0,0.0
120,Generative Visual Dialogue System via Weighted Likelihood Estimation,University of Southern California, Samsung Research Americ, Samsung Research Americ, Samsung Research Americ,University of Southern California,Arizona State University,University of Southern California,,,,,,,,,,,,,,,,,,4.0,0.0
121,Nuclei Segmentation via a Deep Panoptic Model with Semantic Feature Fusion,University of Sydney,University of Sydney,UNSW Sydney,University of Sydney,Brigham and Women's Hospital,Brigham and Women's Hospital,University of Sydney,,,,,,,,,,,,,,,,,,7.0,0.0
122,Transferable Adversarial Attacks for Image and Video Object Detection,Tsinghua University,Institute of Information Engineering,Tsinghua University,Institute of Information Engineering,,,,,,,,,,,,,,,,,,,,,4.0,0.0
123,CensNet: Convolution with Edge-Node Switching in Graph Neural Networks,University of Georgia,University of Georgia,University of Georgia,University of Georgia,,,,,,,,,,,,,,,,,,,,,4.0,0.0
124,Leveraging Human Guidance for Deep Reinforcement Learning Tasks,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,The University of Texas at Austin,,,,,,,,,,,,,,,,,,,,5.0,0.0
125,Teaching AI Agents Ethical Values Using Reinforcement Learning and Policy Orchestration (Extended Abstract) *,Carnegie Mellon University,IBM Research - Thomas J. Watson Research Center,Tulane University," IBM Research, Cambridge, MA, US"," IBM Research, Cambridge, MA, US",IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,,,7.0,0.0
126,RobustTrend: A Huber Loss with a Combined First and Second Order Difference Regularization for Time Series Trend Filtering,Alibaba Group (United States),Alibaba Group (United States),Alibaba Group (United States),Alibaba Group (United States),Alibaba Group (United States),,,,,,,,,,,,,,,,,,,,0.0,5.0
