Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,num_academia,num_company
19,Budget-Constrained Dynamics in Multiagent Systems,Illinois Wesleyan University,Vassar College,,,,,,,,,,,,,,2.0,0.0
20,Most Probable Explanations for Probabilistic Database Queries,TU Dresden,TU Dresden,University of Oxford,,,,,,,,,,,,,3.0,0.0
21,When Security Games Hit Traffic: Optimal Traffic Enforcement Under One Sided Uncertainty,Bar-Ilan University,Bar-Ilan University,,,,,,,,,,,,,,2.0,0.0
22,Adversarial Generation of Real-time Feedback with Neural Networks for Simulation-based Training,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne,,,,,,,,,7.0,0.0
23,Learning deep structured network for weakly supervised change detection,Commonwealth Scientific and Industrial Research Organisation,Australian National University,ShanghaiTech University,Australian National University,University of Western Australia,Murdoch University,University of Western Australia,,,,,,,,,7.0,0.0
24,Object Allocation via Swaps along a Social Network,PSL Research University,PSL Research University,PSL Research University,,,,,,,,,,,,,3.0,0.0
25,Coordinated Versus Decentralized Exploration In Multi-Agent Multi-Armed Bandits,Washington University in St. Louis,"University of California, Irvine",Washington University in St. Louis,Washington University in St. Louis,,,,,,,,,,,,4.0,0.0
26,Which is the Fairest (Rent Division) of Them All? (Extended Abstract),Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,Carnegie Mellon University,National University of Singapore,,,,,,,,,,,,4.0,0.0
27,Deep Descriptor Transforming for Image Co-Localization *,Nanjing University,Nanjing University,University of Adelaide,Nanjing University,Nanjing University,University of Adelaide,Nanjing University,,,,,,,,,7.0,0.0
28,Modeling Trajectories with Recurrent Neural Networks,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University,Fudan University,Singapore Management University,Fudan University,Fudan University,,,,,,,9.0,0.0
29,Strategically Knowing How,University of Córdoba,Université de Toulouse,Toulouse Institute of Computer Science Research,University of Groningen,Peking University,,,,,,,,,,,5.0,0.0
30,Foundations of Declarative Data Analysis Using Limit Datalog Programs,University of Oxford,University of Oxford,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,5.0,0.0
31,Stance Classification with Target-Specific Neural Attention Networks,Harbin Institute of Technology,Hong Kong Polytechnic University,Harbin Institute of Technology," Guangdong Provincial Engineering Technology Research Center for Data Science, Guangzhou, Chin",Aston University,Harbin Institute of Technology,,,,,,,,,,4.0,0.0
32,Predicting Alzheimer's Disease Cognitive Assessment via Robust Low-Rank Structured Sparse Model,Xidian University,The University of Texas at Arlington,Xidian University,Xidian University,University of North Carolina at Chapel Hill,Xidian University,The University of Texas at Arlington,,,,,,,,,7.0,0.0
33,Self-paced Convolutional Neural Networks,Xidian University,Xidian University,,,,,,,,,,,,,,2.0,0.0
34,Basket-Sensitive Personalized Item Recommendation,Singapore Management University,Singapore Management University,Institute for Infocomm Research,,,,,,,,,,,,,3.0,0.0
35,Blockedness in Propositional Logic: Are You Satisfied With Your Neighborhood? *,Johannes Kepler University of Linz,TU Wien,Johannes Kepler University of Linz,,,,,,,,,,,,,3.0,0.0
36,The Many Benefits of Annotator Rationales for Relevance Judgments,The University of Texas at Austin,Qatar University,The University of Texas at Austin,,,,,,,,,,,,,3.0,0.0
37,Posted Pricing sans Discrimination,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,1.0,0.0
38,Constraint-Based Symmetry Detection in General Game Playing,Artois University,Artois University,Artois University,Artois University,,,,,,,,,,,,4.0,0.0
39,Importance-Aware Semantic Segmentation for Autonomous Driving System,Nanjing University of Science and Technology,Nanjing University of Science and Technology,Nanjing University of Science and Technology,,,,,,,,,,,,,3.0,0.0
40,Multi-view Feature Learning with Discriminative Regularization,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,,,,,,,,,,,,,3.0,0.0
41,Learning Discriminative Correlation Subspace for Heterogeneous Domain Adaptation,South China University of Technology,ETH Zurich,Hong Kong Baptist University,South China University of Technology,South China University of Technology,South China University of Technology,South China University of Technology,,,,,,,,,7.0,0.0
42,Integrating Answer Set Programming with Semantic Dictionaries for Robot Task Planning,University of Science and Technology of China,Western Sydney University,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,5.0,0.0
43,End-to-end Optimization of Goal-driven and Visually Grounded Dialogue Systems,University of Lille,Canadian Nautical Research Society,Université de Montréal,University of Lille,Canadian Nautical Research Society,Université de Montréal,,,,,,,,,,6.0,0.0
44,CHARDA Causal Hybrid Automata Recovery via Dynamic Analysis,"University of California, Santa Cruz","University of California, Santa Cruz","University of California, Santa Cruz",,,,,,,,,,,,,3.0,0.0
45,Self-paced Compensatory Deep Boltzmann Machine for Semi-Structured Document Embedding,Taiping Hospital,Sun Yat-sen University,Microsoft Research Asia (China),,,,,,,,,,,,,1.0,1.0
46,End-to-End Adversarial Memory Network for Cross-domain Sentiment Classification,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,,5.0,0.0
47,On the Complexity of Enumerating the Extensions of Abstract Argumentation Frameworks,TU Wien,TU Wien,TU Wien,,,,,,,,,,,,,3.0,0.0
48,The Ceteris Paribus Structure of Logics of Game Forms (Extended Abstract) *,University of Liverpool,Université de Toulouse,,,,,,,,,,,,,,2.0,0.0
49,A New Semantics for Overriding in Description Logics (Extended abstract) *,University of Naples Federico II,University of Naples Federico II,University of Naples Federico II,University of Naples Federico II,,,,,,,,,,,,4.0,0.0
50,An Attention-based Regression Model for Grounding Textual Phrases in Images,Toyohashi University of Technology,Toyohashi University of Technology,Honda (Japan),Honda (Japan),,,,,,,,,,,,2.0,0.0
51,Name Nationality Classification with Recurrent Neural Networks,Korea University,Korea University,Korea University,Korea University,Korea University,Korea University,,,,,,,,,,6.0,0.0
52,On Thompson Sampling and Asymptotic Optimality *,University of Oxford,University of Oxford,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,5.0,0.0
53,Training Group Orthogonal Neural Networks with Privileged Information,National University of Singapore,National University of Singapore,National University of Singapore,National University of Singapore,Qihoo 360 (China),,,,,,,,,,,4.0,1.0
54,Data-driven Random Fourier Features using Stein Effect,,,,,,,,,,,,,,,,0.0,0.0
55,Numeric Planning via Abstraction and Policy Guided Search,University of Toronto,University of Toronto,,,,,,,,,,,,,,2.0,0.0
56,Generating Context-Free Grammars using Classical Planning,Pompeu Fabra University,University of Melbourne,Pompeu Fabra University,,,,,,,,,,,,,3.0,0.0
57,Restricted Chase (Non)Termination for Existential Rules with Disjunctions,TU Dresden,TU Dresden,TU Dresden,,,,,,,,,,,,,3.0,0.0
58,Learning Homophily Couplings from Non-IID Data for Joint Feature Selection and Noise-Resilient Outlier Detection,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,Arizona State University,,,,,,,,,,,,4.0,0.0
59,Locally Consistent Bayesian Network Scores for Multi-Relational Data *,Simon Fraser University,Simon Fraser University,,,,,,,,,,,,,,2.0,0.0
60,Thwarting Vote Buying Through Decoy Ballots,Harvard University,Harvard University,Rensselaer Polytechnic Institute,,,,,,,,,,,,,3.0,0.0
61,Omniscient Debugging for GOAL Agents in Eclipse (Demonstration),Delft University of Technology,Delft University of Technology,Delft University of Technology,,,,,,,,,,,,,3.0,0.0
62,A Functional Dynamic Boltzmann Machine,IBM Research - Tokyo,,,,,,,,,,,,,,,1.0,0.0
63,Cross-modal Common Representation Learning by Hybrid Transfer Network,Peking University,Peking University,Peking University,,,,,,,,,,,,,3.0,0.0
64,Should Robots be Obedient?,"University of California, Berkeley","University of California, Berkeley","University of California, Berkeley","University of California, Berkeley",,,,,,,,,,,,4.0,0.0
65,Lexicons on Demand: Neural Word Embeddings for Large-Scale Text Analysis,Stanford University,Stanford University,Stanford University,,,,,,,,,,,,,3.0,0.0
66,Dynamic Multi-View Hashing for Online Image Retrieval,Wuhan University of Technology,Northumbria University,Lancaster University,University of Queensland,University of East Anglia,,,,,,,,,,,5.0,0.0
67,Improving Reinforcement Learning with Confidence-Based Demonstrations,Washington State University,Washington State University,,,,,,,,,,,,,,2.0,0.0
68,Plan Explanations as Model Reconciliation: Moving Beyond Explanation as Soliloquy,Arizona State University,Arizona State University,Arizona State University,Arizona State University,,,,,,,,,,,,4.0,0.0
69,A Bayesian Approach to Argument-Based Reasoning for Attack Estimation,Sun Yat-sen University,Sendai National College of Technology,,,,,,,,,,,,,,2.0,0.0
70,Exploring Personalized Neural Conversational Models,Carnegie Mellon University," Snap Inc., Venice, C"," Snap Inc., Venice, C",,,,,,,,,,,,,1.0,0.0
71,Leveraging Human Knowledge in Tabular Reinforcement Learning: A Study of Human Subjects,Bar-Ilan University,Washington State University,Bar-Ilan University,,,,,,,,,,,,,3.0,0.0
72,Searching for Well-Behaved Fragments of Halpern-Shoham Logic *,University of Warsaw,University of Warsaw,,,,,,,,,,,,,,2.0,0.0
73,Handling Non-local Dead-ends in Agent Planning Programs,Charles University,Czech Technical University in Prague,University of Melbourne,RMIT University,,,,,,,,,,,,4.0,0.0
74,Semantics for Active Integrity Constraints Using Approximation Fixpoint Theory *,University of Southern Denmark,"Department of Computer Science Celestijnenlaan 200A, Leuven, Belgiu",,,,,,,,,,,,,,2.0,0.0
75,Robust Softmax Regression for Multi-class Classification with Self-Paced Learning,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,,,,,,,,,,,5.0,0.0
76,Retaining Data from Streams of Social Platforms with Minimal Regret,École Polytechnique Fédérale de Lausanne,Humboldt-Universität zu Berlin,École Polytechnique Fédérale de Lausanne,University of Queensland,Griffith University,,,,,,,,,,,5.0,0.0
77,Recommendation vs Sentiment Analysis: A Text-Driven Latent Factor Model for Rating Prediction with Cold-Start Awareness,Northeastern University,Victoria University of Wellington,Northeastern University,Northeastern University,University of Hong Kong,University of Technology Sydney,"{MoE Key Laboratory on High Con-fidence Software Technologies, China}",,,,,,,,,5.0,0.0
78,Predicting Human Interaction via Relative Attention Model,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,,3.0,0.0
79,Tag-Aware Personalized Recommendation Using a Hybrid Deep Model,University of Oxford,University of Oxford,Beijing University of Posts and Telecommunications,University of Oxford,Beijing University of Posts and Telecommunications,,,,,,,,,,,5.0,0.0
80,Probability Bounds for Overlapping Coalition Formation,Technical University of Crete,Technical University of Crete,,,,,,,,,,,,,,2.0,0.0
81,Multiple-Profile Prediction-of-Use Games,Computer Science Department,Computer Science Department,,,,,,,,,,,,,,2.0,0.0
82,nanoCoP: Natural Non-clausal Theorem Proving,University of Oslo,,,,,,,,,,,,,,,1.0,0.0
83,Multi-Type Activity Recognition from a Robot's Viewpoint,The University of Texas at Austin,The University of Texas at Austin,California Institute of Technology,Indiana University,,,,,,,,,,,,4.0,0.0
84,Efficiency Through Procrastination: Approximately Optimal Algorithm Configuration with Runtime Guarantees,Cornell University,Dept. of Computer Science University of British Columbi,Microsoft Research (United Kingdom),,,,,,,,,,,,,1.0,1.0
85,Learning User's Intrinsic and Extrinsic Interests for Point-of-Interest Recommendation: A Unified Approach,University of North Carolina at Charlotte,Nanjing University of Finance and Economics,University of Science and Technology of China,University of North Carolina at Charlotte,,,,,,,,,,,,4.0,0.0
86,Relations Between Spatial Calculi About Directions and Orientations (Extended Abstract 1 ),Otto-von-Guericke University Magdeburg,University of Maine,,,,,,,,,,,,,,2.0,0.0
87,A Convolutional Approach for Misinformation Identification, Center for Research on Intelligent Perception and Computing National Laboratory of Pattern Recognitio,University of Chinese Academy of Sciences, Center for Research on Intelligent Perception and Computing National Laboratory of Pattern Recognitio,University of Chinese Academy of Sciences, Center for Research on Intelligent Perception and Computing National Laboratory of Pattern Recognitio, Center for Research on Intelligent Perception and Computing National Laboratory of Pattern Recognitio,Center for Excellence in Brain Science and Intelligence Technology,University of Chinese Academy of Sciences, Center for Research on Intelligent Perception and Computing National Laboratory of Pattern Recognitio,Center for Excellence in Brain Science and Intelligence Technology,University of Chinese Academy of Sciences,,,,,6.0,0.0
88,Optimal Escape Interdiction on Transportation Networks,Nanyang Technological University,Nanyang Technological University,University of Southampton,Hangzhou Dianzi University,University of Oxford," Departments of Computing and Electrical and Electronic Engineering, Imperial College, U",,,,,,,,,,6.0,0.0
89,Locally Linear Factorization Machines,Zhejiang University,Zhejiang University,University of Antwerp,University of Antwerp,Zhejiang University,,,,,,,,,,,5.0,0.0
90,Revisiting Unrestricted Rebut and Preferences in Structured Argumentation. *,Ruhr University Bochum,Ruhr University Bochum,,,,,,,,,,,,,,2.0,0.0
91,What Can You Do with a Rock? Affordance Extraction via Word Embeddings,Brigham Young University,Brigham Young University,Brigham Young University,Brigham Young University,,,,,,,,,,,,4.0,0.0
92,Generalized Planning: Non-Deterministic Abstractions and Trajectory Constraints,Simón Bolívar University,Sapienza University of Rome,Pompeu Fabra University,University of Naples Federico II,,,,,,,,,,,,4.0,0.0
93,Discriminative Dictionary Learning With Ranking Metric Embedded for Person Re-Identification,MSIGHT Technologies (China),MSIGHT Technologies (China),MSIGHT Technologies (China),Xi'an Jiaotong University,Carnegie Mellon University,,,,,,,,,,,2.0,3.0
94,Sense Beauty by Label Distribution Learning,Southeast University,Southeast University,,,,,,,,,,,,,,2.0,0.0
95,A Monte Carlo Tree Search approach to Active Malware Analysis,University of Verona,University of Verona,,,,,,,,,,,,,,2.0,0.0
96,Fashion Style Generator,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,,,,3.0,0.0
97,Deep Abnormality Detection in Video Data,Deakin University,,,,,,,,,,,,,,,1.0,0.0
98,Tosca: Operationalizing Commitments Over Information Protocols,Lancaster University,Lancaster University,Lancaster University,North Carolina State University,,,,,,,,,,,,4.0,0.0
99,Learning a Ground Truth Ranking Using Noisy Approval Votes,University of Patras,University of Patras,,,,,,,,,,,,,,2.0,0.0
100,Supervised Deep Features for Software Functional Clone Detection by Exploiting Lexical and Syntactical Information in Source Code *,Nanjing University,Nanjing University,,,,,,,,,,,,,,2.0,0.0
101,SVD-free Convex-Concave Approaches for Nuclear Norm Regularization,Nanjing University,University of Iowa,University of Iowa,Nanjing University,,,,,,,,,,,,4.0,0.0
102,"Deep Neural Networks for High Dimension, Low Sample Size Data",Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,,,,,,,,,,,,4.0,0.0
103,The Tractability of the Shapley Value over Bounded Treewidth Matching Games,University of Calabria,University of Calabria,University of Calabria,,,,,,,,,,,,,3.0,0.0
104,Characterising the Manipulability of Boolean Games,University of Oxford,Imperial College London,University of Oxford,,,,,,,,,,,,,3.0,0.0
105,Construction of System of Spheres-based Transitively Relational Partial Meet Multiple Contractions: An Impossibility Result (Extended Abstract) *,Universidade da Madeira,Universidade da Madeira,University of Patras,,,,,,,,,,,,,3.0,0.0
106,Efficient Label Contamination Attacks Against Black-Box Learning Models,Nanyang Technological University,Nanyang Technological University,Nanjing University,Nanjing University,,,,,,,,,,,,4.0,0.0
107,Fast Network Embedding Enhancement via High Order Proximity Approximation,Tsinghua University,Tsinghua University,Jiangsu Normal University,Tsinghua University,Jiangsu Normal University,Tsinghua University,Jiangsu Normal University,,,,,,,,,7.0,0.0
108,Efficient Kernel Selection via Spectral Analysis,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,Tianjin University,Institute of Information Engineering,Institute of Information Engineering,Institute of Information Engineering,,,,,,,,,7.0,0.0
109,Model Accuracy and Runtime Tradeoff in Distributed Deep Learning: A Systematic Study, Equal Contributio, Equal Contributio,IBM Research - Thomas J. Watson Research Center,New York University,,,,,,,,,,,,2.0,0.0
110,K S P: A Resolution-based Prover for Multimodal K Abridged Report,Computer Science Department,Computer Science Department,Computer Science Department,,,,,,,,,,,,,3.0,0.0
111,Enhancing Sustainability of Complex Epidemiological Models through a Generic Multilevel Agent-based Approach," Bioepar, INRA, Oniris, La Chantrerie, 44307 Nantes, Franc",University of Lille," Bioepar, INRA, Oniris, La Chantrerie, 44307 Nantes, Franc"," Bioepar, INRA, Oniris, La Chantrerie, 44307 Nantes, Franc"," Bioepar, INRA, Oniris, La Chantrerie, 44307 Nantes, Franc",,,,,,,,,,,4.0,0.0
112,Recognizing Top-Monotonic Preference Profiles in Polynomial Time *,AGH University of Science and Technology,AGH University of Science and Technology,,,,,,,,,,,,,,2.0,0.0
113,Deep Matrix Factorization Models for Recommender Systems *,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,6.0,0.0
114,Semi-Supervised Deep Hashing with a Bipartite Graph,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,3.0,0.0
115,Two dimensional Large Margin Nearest Neighbor for Matrix Classification,Northwestern Polytechnical University,Northwestern Polytechnical University,Northwestern Polytechnical University,,,,,,,,,,,,,3.0,0.0
116,From Ensemble Clustering to Multi-View Clustering,Northeastern University,Northeastern University,Northeastern University,Northeastern University,Northeastern University,Northeastern University,,,,,,,,,,6.0,0.0
117,Landmarks for Numeric Planning Problems,Australian National University,King's College London,Australian National University,King's College London,Australian National University,King's College London,Australian National University,King's College London,,,,,,,,8.0,0.0
118,Factorized Asymptotic Bayesian Policy Search for POMDPs,The Institute of Statistical Mathematics,New England College,,,,,,,,,,,,,,2.0,0.0
119,Encoding and Recall of Spatio-Temporal Episodic Memory in Real Time,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,,2.0,0.0
120,Projection Free Rank-Drop Steps,University of Waterloo,University of Waterloo,,,,,,,,,,,,,,2.0,0.0
121,A SAT Approach to Branchwidth *,TU Wien,TU Wien,TU Wien,,,,,,,,,,,,,3.0,0.0
122,Semantic Visualization for Short Texts with Word Embeddings,Singapore Management University,Singapore Management University,,,,,,,,,,,,,,2.0,0.0
123,"Automatic Description Generation from Images: A Survey of Models, Datasets, and Evaluation Measures (Extended Abstract) *",University of Trento,Middle East Technical University,University of Amsterdam,Hacettepe University,Hacettepe University,Hacettepe University,University of Edinburgh,University of Malta,University of Groningen,,,,,,,9.0,0.0
124,Computer Models Solving Intelligence Test Problems: Progress and Implications *,Universitat Politècnica de València,Universitat Politècnica de València,University of Bamberg,University of Bamberg,Monash University,,,,,,,,,,,5.0,0.0
125,Effective Deep Memory Networks for Distant Supervised Relation Extraction,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,Harbin Institute of Technology,,,,,,,,,,,5.0,0.0
126,Demystifying Neural Style Transfer,University of Computer Studies Yangon,University of Computer Studies Yangon,University of Computer Studies Yangon,University of Computer Studies Yangon,,,,,,,,,,,,4.0,0.0
127,Person Re-Identification by Deep Joint Learning of Multi-Loss Classification,Queen Mary University of London,Queen Mary University of London,Queen Mary University of London,,,,,,,,,,,,,3.0,0.0
128,Model Checking Multi-Agent Systems against LDLK Specifications,Imperial College London,Imperial College London,,,,,,,,,,,,,,2.0,0.0
129,Lessons from the Amazon Picking Challenge: Four Aspects of Building Robotic Systems,Technical University of Berlin,Technical University of Berlin,Technical University of Berlin,Technical University of Berlin,Technical University of Berlin,Technical University of Berlin,Technical University of Berlin,,,,,,,,,7.0,0.0
130,Privacy and Autonomous Systems,King's College London,,,,,,,,,,,,,,,1.0,0.0
131,Multi-Instance Multi-Label Active Learning *,Nanjing University of Aeronautics and Astronautics,Nanjing University of Aeronautics and Astronautics,Nanjing University of Aeronautics and Astronautics,,,,,,,,,,,,,3.0,0.0
132,Modelling the Working Week for Multi-Step Forecasting using Gaussian Process Regression,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne,University of Melbourne,,,,,,,,,,,5.0,0.0
133,Blue Skies: A Methodology for Data-Driven Clear Sky Modelling,IBM Research - India,IBM Research - India,IBM Research - India,University of Illinois Urbana-Champaign,,,,,,,,,,,,4.0,0.0
134,Teaching Robots through Situated Interactive Dialogue and Visual Demonstrations *,Heriot-Watt University,Heriot-Watt University,,,,,,,,,,,,,,2.0,0.0
135,Belief Change in a Preferential Non-Monotonic Framework,University of Luxembourg,Cape Town HVTN Immunology Laboratory / Hutchinson Centre Research Institute of South Africa,,,,,,,,,,,,,,1.0,0.0
136,Convolutional-Match Networks for Question Answering,University of Essex,University of Ljubljana,University of Essex,University of Essex,,,,,,,,,,,,4.0,0.0
137,Flexible Orthogonal Neighborhood Preserving Embedding,Northwestern Polytechnical University,Northwestern Polytechnical University,The University of Texas at Arlington,Northwestern Polytechnical University,,,,,,,,,,,,4.0,0.0
138,Using Constraint Programming to Solve a Cryptanalytic Problem *,University of Clermont Auvergne,University of Lorraine,University of Lyon System,,,,,,,,,,,,,3.0,0.0
139,Deep Context: A Neural Language Model for Large-scale Networked Documents,University of Southern California,University of Southern California,,,,,,,,,,,,,,2.0,0.0
140,Group-wise Deep Co-saliency Detection,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,6.0,0.0
141,Bernoulli Rank-1 Bandits for Click Feedback,University of Wisconsin System,University of Alberta,,,,,,,,,,,,,,2.0,0.0
142,Pessimistic Leader-Follower Equilibria with Multiple Followers,University of Southampton,Politecnico di Milano,Politecnico di Milano,,,,,,,,,,,,,3.0,0.0
143,A Novel Symbolic Approach to Verifying Epistemic Properties of Programs *,Middlesex University,Middlesex University,University of Surrey,,,,,,,,,,,,,3.0,0.0
144,Staying Ahead of the Game: Adaptive Robust Optimization for Dynamic Allocation of Threat Screening Resources,University of Southern California,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,,,4.0,0.0
145,Cognitive-Inspired Conversational-Strategy Reasoner for Socially-Aware Agents,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,3.0,0.0
146,Learning from Ontology Streams with Semantic Concept Drift,Zhejiang University,French Institute for Research in Computer Science and Automation,University of Aberdeen,Zhejiang University,,,,,,,,,,,,4.0,0.0
147,Classical Generalized Probabilistic Satisfiability *,University of Lisbon,Centro de Investigaciones en Optica,University of Lisbon,Instituto de Novas Tecnologias,,,,,,,,,,,,3.0,0.0
148,MRLR: Multi-level Representation Learning for Personalized Ranking in Recommendation,Nanyang Technological University,Delft University of Technology,Nanyang Technological University,Delft University of Technology,Nanyang Technological University,Singapore Institute of Manufacturing Technology,,,,,,,,,,6.0,0.0
149,Fast Sparse Gaussian Markov Random Fields Learning Based on Cholesky Factorization *,Temple University,University of Belgrade,Serbian Academy of Sciences and Arts,University of Belgrade,University of Belgrade,Temple University,,,,,,,,,,6.0,0.0
150,Life-Stage Modeling by Customer-Manifold Embedding *,Nanjing University,Southeast University,Nanjing University,Southeast University," Tencent Inc., Chin",,,,,,,,,,,4.0,0.0
151,Multi-Class Support Vector Machine via Maximizing Multi-Class Margins,Xidian University,The University of Texas at Arlington,Beihang University,The University of Texas at Arlington,Xidian University,The University of Texas at Arlington,Northwestern Polytechnical University,Xidian University,The University of Texas at Arlington,,,,,,,9.0,0.0
152,Equi-Reward Utility Maximizing Design in Stochastic Environments,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,5.0,0.0
153,Verifying Fault-tolerance in Parameterised Multi-Agent Systems,University of Naples Federico II,"Department of Computing Imperial College London, U",,,,,,,,,,,,,,1.0,0.0
154,Don't Bury your Head in Warnings: A Game-Theoretic Approach for Intelligent Allocation of Cyber-security Alerts,University of Southern California,University of Southern California,Texas State University,The University of Texas at El Paso,University of Michigan–Ann Arbor,University of Southern California,United States Air Force Academy,Texas State University,Texas State University,,,,,,,9.0,0.0
