Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,num_academia,num_company
14,Learning Continuous Time Bayesian Networks in Non-stationary Domains (Extended Abstract) *,Norwegian Defence Research Establishment,University of Milano-Bicocca,"Artificial Intelligence Research [Villa and Stella, 2016]",,,,,,,,,,,,,1.0,0.0
15,Dynamic Resource Routing using Real-Time Dynamic Programming,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,,,,,,,,,,,,,,2.0,0.0
16,Effect-Abstraction Based Relaxation for Linear Numeric Planning,Australian National University,Fondazione Bruno Kessler,Australian National University,Commonwealth Scientific and Industrial Research Organisation,Australian National University,,,,,,,,,,,5.0,0.0
17,ANRL: Attributed Network Representation Learning via Deep Neural Networks,Zhejiang University,Zhejiang University,Alibaba Group (China),Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Alibaba Group (China),Simon Fraser University,Zhejiang University,,,,,9.0,2.0
18,Multi-agent Epistemic Planning with Common Knowledge,Sun Yat-sen University,Sun Yat-sen University,,,,,,,,,,,,,,2.0,0.0
19,Reasoning about Betweenness and RCC8 Constraints in Qualitative Conceptual Spaces,Cardiff University,University of Technology Sydney,,,,,,,,,,,,,,2.0,0.0
20,Winning a Tournament by Any Means Necessary,University of Bergen,Institute of Mathematical Sciences,University of Bergen,Institute of Mathematical Sciences,Ben-Gurion University of the Negev,,,,,,,,,,,5.0,0.0
21,Five Years of Argument Mining: a Data-driven Analysis,Université Côte d'Azur,Université Côte d'Azur,,,,,,,,,,,,,,2.0,0.0
22,Event Coreference Resolution: A Survey of Two Decades of Research,The University of Texas at Dallas,The University of Texas at Dallas,,,,,,,,,,,,,,2.0,0.0
23,Refine or Represent: Residual Networks with Explicit Channel-wise Configuration,Shanghai Jiao Tong University,National University of Singapore,,,,,,,,,,,,,,2.0,0.0
24,Robust Auto-Weighted Multi-View Clustering,Northwest University,Northwest University,Northwest University,Northwest University,Northwest University,Northwest University,Northwest University,,,,,,,,,7.0,0.0
25,Hierarchical Graph Structure Learning for Multi-View 3D Model Retrieval,Tianjin University,Tianjin University,Tianjin University,Tianjin University,,,,,,,,,,,,4.0,0.0
26,Representation Learning for Scene Graph Completion via Jointly Structural and Visual Embedding,Sun Yat-sen University," Guangdong Key Laboratory of Big Data Analysis and Processing, Guangzhou, Chin",Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,,,,,,,,,4.0,0.0
27,Neural User Response Generator: Fake News Detection with Collective User Intelligence,Peking University,Peking University,University of Southern California,University of Southern California,,,,,,,,,,,,4.0,0.0
28,Adversarial Task Assignment,Vanderbilt University,Vanderbilt University,,,,,,,,,,,,,,2.0,0.0
29,Adversarial Metric Learning,Nanjing University of Science and Technology,Nanjing University of Science and Technology, Key Laboratory of Intelligent Perception & Systems for High-Dimensional Informatio,Nanjing University of Science and Technology, Key Laboratory of Intelligent Perception & Systems for High-Dimensional Informatio, Jiangsu Key Laboratory of Image & Video Understanding for Social Securit,Nanjing University of Science and Technology, Jiangsu Key Laboratory of Image & Video Understanding for Social Securit,Nanjing University of Science and Technology, Jiangsu Key Laboratory of Image & Video Understanding for Social Securit, Key Laboratory of Intelligent Perception & Systems for High-Dimensional Informatio, Jiangsu Key Laboratory of Image & Video Understanding for Social Securit,,,,5.0,1.0
30,On the Complexity of Chore Division,"University of Maryland, College Park","University of Maryland, College Park",,,,,,,,,,,,,,2.0,0.0
31,When Does Diversity of Agent Preferences Improve Outcomes in Selfish Routing?,New York University,National Technical University of Athens,The University of Texas at Austin,,,,,,,,,,,,,3.0,0.0
32,Learning Transferable UAV for Forest Visual Perception,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,3.0,0.0
33,Learning Environmental Calibration Actions for Policy Self-Evolution *,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,3.0,0.0
34,Achieving Non-Discrimination in Prediction,University of Arkansas at Fayetteville,University of Arkansas at Fayetteville,University of Arkansas at Fayetteville,,,,,,,,,,,,,3.0,0.0
35,Towards Improving the Expressivity and Scalability of Distributed Constraint Optimization Problems,Washington University in St. Louis,,,,,,,,,,,,,,,1.0,0.0
36,Multi-modal Circulant Fusion for Video-to-Language and Backward,Tianjin University,Tianjin University,,,,,,,,,,,,,,2.0,0.0
37,SafeNet: Scale-normalization and Anchor-based Feature Extraction Network for Person Re-identification,Institute of Automation,University of Chinese Academy of Sciences, Horizon Robotic, Horizon Robotic,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,,,,,,,,,5.0,0.0
38,TreeNet: Learning Sentence Representations with Unconstrained Tree Structure,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,The Hang Seng University of Hong Kong,,,,,,,,,,6.0,0.0
39,Axiomatization of the PageRank Centrality,University of Warsaw,University of Warsaw,,,,,,,,,,,,,,2.0,0.0
40,Joint Generative Moment-Matching Network for Learning Structural Latent Code,University of Pittsburgh,University of Pittsburgh,,,,,,,,,,,,,,2.0,0.0
41,Counterexample-Guided Data Augmentation,"University of California, Berkeley","University of California, Berkeley","University of California, Berkeley","University of California, Berkeley","University of California, Berkeley","University of California, Berkeley",,,,,,,,,,6.0,0.0
42,Behavioral Cloning from Observation,The University of Texas at Austin,United States Army Research Laboratory,The University of Texas at Austin,,,,,,,,,,,,,3.0,0.0
43,Efficient Localized Inference for Large Graphical Models,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,The University of Texas at Austin,,,,,,,,,,,,,3.0,0.0
44,What Game Are We Playing? End-to-end Learning in Normal and Extensive Form Games,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,,,,,,,,,,,,,3.0,0.0
45,Fostering Cooperation in Structured Populations Through Local and Global Interference Strategies,Teesside University,Teesside University,University of Southampton,Instituto de Engenharia de Sistemas e Computadores Investigação e Desenvolvimento,,,,,,,,,,,,4.0,0.0
46,Meta-Level Control of Anytime Algorithms with Online Performance Prediction,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,,,3.0,0.0
47,Grouping Attribute Recognition for Pedestrian with Joint Recurrent Learning *,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,5.0,0.0
48,Localized Incomplete Multiple Kernel k-means,Zhejiang Normal University,Xidian University,National University of Defense Technology,National University of Defense Technology,National University of Defense Technology,National University of Defense Technology,University of Oulu,National University of Defense Technology,Dongguan University of Technology,Peking University,,,,,,10.0,0.0
49,An Ensemble of Retrieval-Based and Generation-Based Human-Computer Conversation Systems,Peking University,National Cheng Kung University,Université de Montréal,Peking University,University of Computer Studies Yangon,University of Computer Studies Yangon,,,,,,,,,,6.0,0.0
50,Ranking Preserving Nonnegative Matrix Factorization,The University of Tokyo,Bournemouth University,Bournemouth University,UNSW Sydney,Beijing University of Posts and Telecommunications,UNSW Sydney,The University of Tokyo,,,,,,,,,7.0,0.0
51,Feature Hashing for Network Representation Learning,Xidian University,Xidian University,Xidian University,Xidian University,,,,,,,,,,,,4.0,0.0
52,Automated Reasoning for City Infrastructure Maintenance Decision Support,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Leeds,University of Nottingham Ningbo China,University of Leeds,University of Leeds,University of Leeds,University of Leeds,,,,,,10.0,0.0
53,Preference-Based Inconsistency Management in Multi-Context Systems (Extended Abstract) *,TU Wien,Aalto University,,,,,,,,,,,,,,2.0,0.0
54,On the Logical Properties of the Description Logic DL N (Extended abstract) *,University of Naples Federico II," Abbreviation for ""description logics""",,,,,,,,,,,,,,1.0,0.0
55,Experimental Design Under the Bradley-Terry Model,Northeastern University,Northeastern University,Massachusetts General Hospital,Oregon Health & Science University,Oregon Health & Science University,Oregon Health & Science University,Northeastern University,Northeastern University,Northeastern University,,,,,,,9.0,0.0
56,Preventing Disparate Treatment in Sequential Decision Making,ETH Zurich,ETH Zurich,,,,,,,,,,,,,,2.0,0.0
57,Markov Random Neural Fields for Face Sketch Synthesis,Xidian University,Xidian University,Xidian University,Xidian University,,,,,,,,,,,,4.0,0.0
58,A Scalable Scheme for Counting Linear Extensions,University of Helsinki,Aalto University,Aalto University,University of Helsinki,,,,,,,,,,,,4.0,0.0
59,Estimation with Incomplete Data: The Linear Case,"University of California, Berkeley",Cornell University,"University of California, Los Angeles",,,,,,,,,,,,,3.0,0.0
60,Adversarial Active Learning for Sequence Labeling and Generation," AI Center, Samsung Research America, Mountain View, CA, US","University of California, San Diego"," AI Center, Samsung Research America, Mountain View, CA, US"," AI Center, Samsung Research America, Mountain View, CA, US",,,,,,,,,,,,1.0,0.0
61,Quantum Divide-and-Conquer Anchoring for Separable Non-negative Matrix Factorization,University of Sydney,University of Sydney,University of Technology,University of Technology," Institute for Quantum Computing, Baidu Inc., Beijing 100193, Chin",University of Sydney,,,,,,,,,,1.0,4.0
62,3D-PhysNet: Learning the Intuitive Physics of Non-Rigid Object Deformations,University of Oxford,University of Oxford,University of Oxford,Heriot-Watt University,University of Oxford,University of Oxford,,,,,,,,,,6.0,0.0
63,On the Cost Complexity of Crowdsourcing,Beihang University,"Beijing Advanced Innovation Center for Big Data and Brain Computing, Beijing, Chin",,,,,,,,,,,,,,4.0,0.0
64,Distributed Pareto Optimization for Subset Selection,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,Southern University of Science and Technology,,,,,,,,,,,,4.0,0.0
65,Toward Diverse Text Generation with Inverse Reinforcement Learning,University School,University School,University School,University School,,,,,,,,,,,,4.0,0.0
66,Multiway Attention Networks for Modeling Sentence Pairs,Beihang University,Microsoft Research Asia (China),Peking University,Beihang University,Microsoft Research Asia (China),Microsoft Research Asia (China),,,,,,,,,,3.0,3.0
67,Readitopics: Make Your Topic Models Readable via Labeling and Browsing,University of Lyon System,University of Lyon System,University of Lyon System,University of Lyon System,University of Montpellier,,,,,,,,,,,5.0,0.0
68,Learning to Write Stylized Chinese Characters by Reading a Handful of Examples,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,5.0,0.0
69,A Degeneracy Framework for Graph Similarity,Athens University of Economics and Business,Athens University of Economics and Business,Athens University of Economics and Business,Athens University of Economics and Business,Athens University of Economics and Business,,,,,,,,,,,5.0,0.0
70,Incomplete Multi-View Weak-Label Learning *,Southwest University,Southwest University,George Mason University,Southwest University,Southwest University,Deakin University,,,,,,,,,,6.0,0.0
71,Towards Better Representation Learning for Personalized News Recommendations: A Multi-Channel Deep Fusion Approach,University of Science and Technology of China,Microsoft Research Asia (China),Microsoft Research Asia (China),University of Science and Technology of China,,,,,,,,,,,,2.0,2.0
72,Autonomously Reusing Knowledge in Multiagent Reinforcement Learning,Universidade de São Paulo,Washington State University,Universidade de São Paulo,,,,,,,,,,,,,3.0,0.0
73,Bridging the Gap Between Theory and Practice in Influence Maximization: Raising Awareness about HIV among Homeless Youth,University of Southern California,University of Southern California,University of Southern California,University of Southern California,University of Southern California,University of Southern California,University of Southern California,University of Southern California,University of Southern California,University of Southern California,,,,,,10.0,0.0
74,Small-Variance Asymptotics for Nonparametric Bayesian Overlapping Stochastic Blockmodels,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,,,,,,,,,,,5.0,0.0
75,Novel Algorithms for Abstract Dialectical Frameworks based on Complexity Analysis of Subclasses and SAT Solving,TU Wien,University of Genoa,University of Helsinki,TU Wien,TU Wien,,,,,,,,,,,5.0,0.0
76,Goal-HSVI: Heuristic Search Value Iteration for Goal-POMDPs *,Technical University of Munich,Technical University of Munich,Institute of Science and Technology Austria,,,,,,,,,,,,,3.0,0.0
77,GraspNet: An Efficient Convolutional Neural Network for Real-time Grasp Detection for Low-powered Devices,IBM Research - Australia,IBM Research - Australia,IBM Research - Australia,,,,,,,,,,,,,3.0,0.0
78,Viewpoint: Artificial Intelligence and Labour,"Institute of Analytics and Data Science, Wivenhoe Park, Colchester CO4 3SQ, Essex, U.K",,,,,,,,,,,,,,,1.0,0.0
79,Advances and Challenges in Privacy Preserving Planning,Ben-Gurion University of the Negev,,,,,,,,,,,,,,,1.0,0.0
80,Distributed Self-Paced Learning in Alternating Direction Method of Multipliers,Virginia Tech,George Mason University,Virginia Tech,Virginia Tech,,,,,,,,,,,,4.0,0.0
81,A Generic Approach for Accelerating Stochastic Zeroth-Order Convex Optimization,Chinese University of Hong Kong,"Chinese University of Hong Kong, Shenzhen",Chinese University of Hong Kong,"Chinese University of Hong Kong, Shenzhen",Chinese University of Hong Kong,"Chinese University of Hong Kong, Shenzhen",University of Iowa,,,,,,,,,7.0,0.0
82,Bidding in Periodic Double Auctions Using Heuristics and Dynamic Monte Carlo Tree Search,The University of Texas at El Paso,The University of Texas at El Paso,New Mexico State University,Washington University in St. Louis,,,,,,,,,,,,4.0,0.0
83,Deep Learning for Multi-Facility Location Mechanism Design,Harvard University,Harvard University,Harvard University,,,,,,,,,,,,,3.0,0.0
84,A 3 NCF: An Adaptive Aspect Attention Model for Rating Prediction,National University of Singapore," Vipshop US Inc., San Jose, CA, US",National University of Singapore,Shandong Normal University,Shandong University,National University of Singapore,,,,,,,,,,5.0,0.0
85,Weakly Learning to Match Experts in Online Community,Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,3.0,0.0
86,Evaluation Techniques and Systems for Answer Set Programming: A Survey,University of Potsdam,University of Calabria,University of Genoa,University of Calabria,University of Calabria,University of Potsdam,,,,,,,,,,6.0,0.0
87,Collaborative Learning for Weakly Supervised Object Detection,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,4.0,0.0
88,DEL: Deep Embedding Learning for Efficient Image Segmentation,Nankai University,Nankai University,Royal Institute of Technology,Nankai University,University of Adelaide,Advanced Digital Sciences Center,Nankai University,,,,,,,,,7.0,0.0
89,Reachability Analysis of Deep Neural Networks with Provable Guarantees,University of Oxford,University of Liverpool,University of Oxford,,,,,,,,,,,,,3.0,0.0
90,A COP Model for Graph-Constrained Coalition Formation (Extended Abstract)," IIIA-CSIC, Campus UAB, 08913, Cerdanyola, Catalonia, Spai",University of Verona,,,,,,,,,,,,,,1.0,0.0
91,Visualisation and 'Diagnostic Classifiers' Reveal how Recurrent and Recursive Neural Networks Process Hierarchical Structure * (Extended Abstract),University of Amsterdam,University of Amsterdam,,,,,,,,,,,,,,2.0,0.0
92,Efficient Attributed Network Embedding via Recursive Randomized Hashing,University of Technology Sydney,Fudan University,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,,4.0,0.0
93,Cascaded Low Rank and Sparse Representation on Grassmann Manifolds,University of Science and Technology Beijing,Beijing University of Technology,Beijing Advanced Sciences and Innovation Center,University of Science and Technology Beijing,Beijing University of Technology,University of Sydney,Beijing Advanced Sciences and Innovation Center,University of Science and Technology Beijing,Beijing University of Technology,Beijing Advanced Sciences and Innovation Center,University of Science and Technology Beijing,Beijing University of Technology,Dalian University of Technology,,,13.0,0.0
94,Improving Deep Neural Network Sparsity through Decorrelation Regularization,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,,,,,,,,,,,,,3.0,0.0
95,Trajectory-User Linking via Variational AutoEncoder,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,Iowa State University,"University of Maryland, College Park",University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,,,,,,,,,,6.0,0.0
96,Approval-Based Multi-Winner Rules and Strategic Voting,TU Wien,University of Warsaw,,,,,,,,,,,,,,2.0,0.0
97,Dynamic Fair Division Problem with General Valuations,Stony Brook University,University of Melbourne,Northwestern University,,,,,,,,,,,,,3.0,0.0
98,Metadata-dependent Infinite Poisson Factorization for Efficiently Modelling Sparse and Large Matrices in Recommendation,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,,,3.0,0.0
99,Implicit Non-linear Similarity Scoring for Recognizing Unseen Classes *,Tsinghua University,Tsinghua University,Lancaster University,Tsinghua University,Tsinghua University,,,,,,,,,,,5.0,0.0
100,Solving Separable Nonsmooth Problems Using Frank-Wolfe with Uniform Affine Approximations,University of Waterloo,University of Waterloo,,,,,,,,,,,,,,2.0,0.0
101,Stochastic Second-Order Method for Large-Scale Nonconvex Sparse Learning Models,University of Pittsburgh,University of Pittsburgh,,,,,,,,,,,,,,2.0,0.0
102,The Facets of Artificial Intelligence: A Framework to Track the Evolution of AI,Universitat Politècnica de València,University of Cambridge,University of Bristol,University of Cambridge,University of Cambridge,Universitat Politècnica de València,,,,,,,,,,6.0,0.0
103,Representing Urban Functions through Zone Embedding with Human Mobility Patterns,"Rutgers, The State University of New Jersey",Missouri University of Science and Technology,IBM Research - Thomas J. Watson Research Center,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey",,,,,,,,,,,5.0,0.0
104,Translations as Additional Contexts for Sentence Classification,Yonsei University,Yonsei University,Pohang University of Science and Technology,Yonsei University,,,,,,,,,,,,4.0,0.0
105,Automatic Gating of Attributes in Deep Structure,Tsinghua University,Tsinghua University," Baidu Corporation, Beijing, Chin",Cisco Systems (China),Tsinghua University," Baidu Corporation, Beijing, Chin",,,,,,,,,,3.0,1.0
106,Extracting Privileged Information from Untagged Corpora for Classifier Learning,University of Technology Sydney,University of Technology Sydney,University of Electronic Science and Technology of China,Southeast University,Alibaba Group (China),Nanjing University of Science and Technology,,,,,,,,,,5.0,1.0
107,Annotation-Free and One-Shot Learning for Instance Segmentation of Homogeneous Object Clusters,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,University of Hong Kong,,,,,,,,,,,5.0,0.0
108,Progressive Generative Hashing for Image Retrieval,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,Beihang University,,,,,,,,,,6.0,0.0
109,Uncertainty Sampling for Action Recognition via Maximizing Expected Average Precision,Chinese Academy of Sciences,University of Chinese Academy of Sciences,Carnegie Mellon University,Chinese Academy of Sciences,University of Chinese Academy of Sciences,University of Technology Sydney,Chinese Academy of Sciences,,,,,,,,,7.0,0.0
110,Online Deep Learning: Learning Deep Neural Networks on the Fly,Singapore Management University,Singapore Management University, JD.co,Singapore Management University,,,,,,,,,,,,3.0,0.0
111,Optimal Cruiser-Drone Traffic Enforcement Under Energy Limitation,Weizmann Institute of Science,Bar-Ilan University,Bar-Ilan University,,,,,,,,,,,,,3.0,0.0
112,Curriculum Adversarial Training,Nanjing University,"University of California, Berkeley","University of California, Berkeley",,,,,,,,,,,,,3.0,0.0
113,AGI Safety Literature Review,Australian National University,Australian National University,Australian National University,,,,,,,,,,,,,3.0,0.0
114,Balancing Two-Player Stochastic Games with Soft Q-Learning,,,,,,,,,,,,,,,,0.0,0.0
115,Vocabulary Alignment for Collaborative Agents: a Study with Real-World Multilingual How-to Instructions,Research Institute for Artificial Intelligence,University of Barcelona,University of Southampton,,,,,,,,,,,,,3.0,0.0
116,Mixture of GANs for Clustering *,Nanjing University,Nanjing University,,,,,,,,,,,,,,2.0,0.0
117,Self-Supervised Deep Low-Rank Assignment Model for Prototype Selection,Beijing Jiaotong University,University of Science and Technology Beijing,,,,,,,,,,,,,,2.0,0.0
118,Efficient DNN Neuron Pruning by Minimizing Layer-wise Nonlinear Reconstruction Error *,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,Southern University of Science and Technology,,,,,,,,,,,,4.0,0.0
119,Fine-grained Image Classification by Visual-Semantic Embedding,Southeast University,Southeast University,University of Electronic Science and Technology of China,Xi'an Jiaotong University,Nanjing University of Posts and Telecommunications,Southeast University,,,,,,,,,,6.0,0.0
120,SSR-Net: A Compact Soft Stagewise Regression Network for Age Estimation,Academia Sinica,National Taiwan University,Academia Sinica,National Taiwan University,Academia Sinica,Academia Sinica,Academia Sinica,National Taiwan University,,,,,,,,8.0,0.0
121,Finite Controllability of Conjunctive Query Answering with Existential Rules: Two Steps Forward,University of Calabria,University of Calabria,University of Calabria,,,,,,,,,,,,,3.0,0.0
122,Empirical Analysis of Foundational Distinctions in Linked Open Data,Institute of Cognitive Sciences and Technologies,University of Bologna,University of Turin,University of Bologna,Institute of Cognitive Sciences and Technologies,,,,,,,,,,,5.0,0.0
123,From the Periphery to the Center: Information Brokerage in an Evolving Network,Beijing Institute of Technology,Beijing Institute of Technology,University of Auckland,Beijing Institute of Technology,Beijing Institute of Technology,Beijing Institute of Technology,,,,,,,,,,6.0,0.0
124,Cuckoo Feature Hashing: Dynamic Weight Sharing for Sparse Analytics,National University of Singapore,National University of Singapore,Shanghai Jiao Tong University,Pennsylvania State University,,,,,,,,,,,,4.0,0.0
125,Distributed Primal-Dual Optimization for Non-uniformly Distributed Data,"University of California, Davis","University of California, Davis","University of California, Davis",,,,,,,,,,,,,3.0,0.0
126,Interactive Robot Transition Repair With SMT,University of Massachusetts Amherst,University of Massachusetts Amherst,University of Massachusetts Amherst,,,,,,,,,,,,,3.0,0.0
127,On Robust Trimming of Bayesian Network Classifiers,"University of California, Los Angeles","University of California, Los Angeles",,,,,,,,,,,,,,2.0,0.0
128,Integrating Demand Response and Renewable Energy in Wholesale Market,RMIT University,RMIT University,RMIT University,RMIT Vietnam,Texas A&M University,University of Queensland,,,,,,,,,,5.0,0.0
129,Explaining Multi-Criteria Decision Aiding Models with an Extended Shapley Value,"Thales Research & Technology, 1 avenue Fresnel, 91767 Palaiseau cedex, Franc","Thales Research & Technology, 1 avenue Fresnel, 91767 Palaiseau cedex, Franc",,,,,,,,,,,,,,2.0,0.0
130,On the Convergence Properties of a K-Step Averaging Stochastic Gradient Descent Algorithm for Nonconvex Optimization,Georgia Institute of Technology,IBM Research - Thomas J. Watson Research Center,,,,,,,,,,,,,,2.0,0.0
131,Robust Graph Dimensionality Reduction,Guangxi Normal University,Guangxi Normal University,Guangxi Normal University,Guangxi Normal University,Guangxi Normal University,Guangxi Normal University,Guangxi Normal University,,,,,,,,,7.0,0.0
132,Minimizing Adaptive Regret with One Gradient per Iteration,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,3.0,0.0
133,Unsupervised Deep Hashing via Binary Latent Factor Models for Large-scale Cross-modal Retrieval,Lancaster University," Microsoft Research, Beijing, 100080, Chin",Lancaster University,Inception Institute of Artificial Intelligence,Tsinghua University,Beihang University,Northumbria University,,,,,,,,,6.0,0.0
134,Linear Satisfiability Preserving Assignments (Extended Abstract) *,Toyohashi University of Technology,Kyoto University,"Artificial Intelligence Research [Kimura and Makino, 2018]",,,,,,,,,,,,,2.0,0.0
135,MCTS-Minimax Hybrids with State Evaluations (Extended Abstract) *,Centrum Wiskunde & Informatica,Maastricht University,,,,,,,,,,,,,,2.0,0.0
136,Medusa: Towards Simulating a Multi-Agent Hide-and-Seek Game,International Institute of Information Technology,International Institute of Information Technology,,,,,,,,,,,,,,2.0,0.0
137,A Weakly Supervised Method for Topic Segmentation and Labeling in Goal-oriented Dialogues via Reinforcement Learning,Tsinghua University,Tsinghua University,Alibaba Group (China),Alibaba Group (China),Alibaba Group (China),Tsinghua University,Shandong University,,,,,,,,,4.0,3.0
138,Complementary Learning of Word Embeddings,Tencent AI La,Tencent AI La,,,,,,,,,,,,,,2.0,0.0
139,Sequence Selection by Pareto Optimization,University of Science and Technology of China,University of Science and Technology of China,Southern University of Science and Technology,,,,,,,,,,,,,3.0,0.0
140,A Novel Strategy for Active Task Assignment in Crowd Labeling,"Rolls-Royce@NTU Corporate Lab, School of Computer Science and Engineerin",Nanyang Technological University,,,,,,,,,,,,,,1.0,0.0
141,Active Object Reconstruction Using a Guided View Planner,Dalian University of Technology,City University of Hong Kong,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,Dalian University of Technology,City University of Hong Kong,,,,,,,,8.0,0.0
142,Dynamic Network Embedding : An Extended Approach for Skip-gram based Network Embedding,Peking University,Peking University,Peking University,Peking University,Peking University,,,,,,,,,,,5.0,0.0
143,Stochastic Anytime Search for Bounding Marginal MAP,"University of California, Irvine","University of California, Irvine","University of California, Irvine","University of California, Irvine",,,,,,,,,,,,4.0,0.0
144,Mixed Causal Structure Discovery with Application to Prescriptive Pricing,NEC (China),NEC (China),NEC (China),,,,,,,,,,,,,0.0,3.0
145,Submodularity-Inspired Data Selection for Goal-Oriented Chatbot Training Based on Sentence Embeddings,École Polytechnique Fédérale de Lausanne, Artificial Intelligence Group -Swisscom A,École Polytechnique Fédérale de Lausanne, Artificial Intelligence Group -Swisscom A, Artificial Intelligence Group -Swisscom A,,,,,,,,,,,2.0,0.0
